X,City,Year,CO,Humidity,NO2,O3,PM10,PM25,SO2,Temperature,lat,lng,IPM25,IPM10,INO2,IO3,IQA,Country
88,Moscow,2023,2.60865051903114,65.336678200692,17.1501730103806,12.5965277777778,16.6678200692042,34.7647058823529,0.857638888888889,5.14256055363322,55.7558,37.6173,6.95294117647059,1.11118800461361,1.71501730103806,0.20994212962963,8.87790060713828,Russia
89,Oslo,2019,0.100000000000001,68.9829268292683,12.525935828877,20.0408408408408,12.9304812834225,28.9385026737968,NA,7.84281842818428,59.9139,10.7522,5.78770053475936,0.862032085561497,1.2525935828877,0.334014014014014,7.37430813166107,Norway
90,Oslo,2020,0.100000000000001,67.2109042553191,9.46287878787879,NA,12.4873737373737,24.8661616161616,NA,9.27978723404256,59.9139,10.7522,4.97323232323232,0.832491582491582,0.946287878787879,NA,5.9195202020202,Norway
91,Oslo,2021,0.100000000000001,62.4785907859079,9.51287671232877,NA,13.1123287671233,28.5698630136986,NA,8.79512195121951,59.9139,10.7522,5.71397260273973,0.874155251141552,0.951287671232877,NA,6.6652602739726,Norway
92,Oslo,2022,0.1,61.4279069767442,8.166,NA,11.6266666666667,24.4433333333333,NA,10.1059800664452,59.9139,10.7522,4.88866666666667,0.775111111111111,0.8166,NA,5.70526666666667,Norway
93,Oslo,2023,0.0999999999999998,58.0020942408377,10.4219895287958,NA,15.4973821989529,29.4397905759162,NA,6.66335078534031,59.9139,10.7522,5.88795811518325,1.03315881326353,1.04219895287958,NA,6.93015706806283,Norway
94,Ottawa,2019,0.483378016085791,69.3016304347826,6.11876675603217,8.32654155495979,NA,29.0509383378016,0.42198275862069,6.66413043478261,45.4215,-75.6972,5.81018766756032,NA,0.611876675603217,0.138775692582663,6.5608400357462,Canada
95,Ottawa,2020,0.41010101010101,71.133066666666707,5.09368686868686,18.0724747474748,NA,25.5479797979798,0.412288135593221,8.91093333333334,45.4215,-75.6972,5.10959595959596,NA,0.509368686868686,0.301207912457913,5.92017255892256,Canada
96,Ottawa,2021,0.49475138121547,70.9730077120822,4.8051948051948,18.7686375321337,NA,28.0154241645244,0.318072289156627,8.87043701799486,45.4215,-75.6972,5.60308483290489,NA,0.48051948051948,0.312810625535562,6.39641493895993,Canada
97,Ottawa,2022,0.167272727272728,68.1681063122924,4.52399999999999,17.9322259136213,NA,25.3720930232558,1.94588235294118,12.7362126245847,45.4215,-75.6972,5.07441860465116,NA,0.452399999999999,0.298870431893688,5.82568903654485,Canada
